COD_ASSUNTO_NACIONAL;N1_COD;N1_DESC;N2_COD;N2_DESC;N3_COD;N3_DESC;N4_COD;N4_DESC;N5_COD;N5_DESC;N6_COD;N6_DESC;DESC_ASSUNTO
5976;14;DIREITO TRIBUTÁRIO;5973;Empréstimos Compulsórios;5976;Aquisição de passagens e moedas - Viagem Exterior;;;;;;; direito tributário empréstimos compulsórios aquisição de passagens e moedas - viagem exterior    
5975;14;DIREITO TRIBUTÁRIO;5973;Empréstimos Compulsórios;5975;Aquisição de combustíveis;;;;;;; direito tributário empréstimos compulsórios aquisição de combustíveis    
5974;14;DIREITO TRIBUTÁRIO;5973;Empréstimos Compulsórios;5974;Aquisição de veículos automotores;;;;;;; direito tributário empréstimos compulsórios aquisição de veículos automotores    
5977;14;DIREITO TRIBUTÁRIO;5973;Empréstimos Compulsórios;5977;Energia Elétrica;;;;;;; direito tributário empréstimos compulsórios energia elétrica    
5971;14;DIREITO TRIBUTÁRIO;5956;Taxas;5971;Estaduais;;;;;;; direito tributário taxas estaduais    
10535;14;DIREITO TRIBUTÁRIO;5956;Taxas;5972;Municipais;10535;Taxa de Iluminação Pública;;;;; direito tributário taxas municipais taxa de iluminação pública   
10536;14;DIREITO TRIBUTÁRIO;5956;Taxas;5972;Municipais;10536;Taxa de Coleta de Lixo;;;;; direito tributário taxas municipais taxa de coleta de lixo   
10534;14;DIREITO TRIBUTÁRIO;5956;Taxas;5972;Municipais;10534;Taxa de Limpeza Pública;;;;; direito tributário taxas municipais taxa de limpeza pública   
10538;14;DIREITO TRIBUTÁRIO;5956;Taxas;5972;Municipais;10538;Taxa de Licenciamento de Estabelecimento;;;;; direito tributário taxas municipais taxa de licenciamento de estabelecimento   
10537;14;DIREITO TRIBUTÁRIO;5956;Taxas;5972;Municipais;10537;Taxa de Prevenção e Combate a Incêndio;;;;; direito tributário taxas municipais taxa de prevenção e combate a incêndio   
5962;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5962;Taxa de Fiscalização Ambiental;;;;; direito tributário taxas federais taxa de fiscalização ambiental   
5961;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5961;Taxa de Exploração Mineral;;;;; direito tributário taxas federais taxa de exploração mineral   
5958;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5958;Taxa Anual por Hectare;;;;; direito tributário taxas federais taxa anual por hectare   
5964;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5964;Taxa de Licença de Importação;;;;; direito tributário taxas federais taxa de licença de importação   
5959;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5959;Taxa de Armazenamento;;;;; direito tributário taxas federais taxa de armazenamento   
5963;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5963;Taxa de Guia de Importação;;;;; direito tributário taxas federais taxa de guia de importação   
5970;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5970;Taxa de Aferição de Equipamentos de Metrologia;;;;; direito tributário taxas federais taxa de aferição de equipamentos de metrologia   
5969;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5969;Taxa Judiciária;;;;; direito tributário taxas federais taxa judiciária   
5968;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5968;Taxa de Fiscalização da Comissão de Valores Mobiliários;;;;; direito tributário taxas federais taxa de fiscalização da comissão de valores mobiliários   
5967;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5967;Taxa de Saúde Suplementar;;;;; direito tributário taxas federais taxa de saúde suplementar   
5966;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5966;Taxa de Permanência;;;;; direito tributário taxas federais taxa de permanência   
5965;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5965;Taxa de Melhoramento de Portos;;;;; direito tributário taxas federais taxa de melhoramento de portos   
5960;14;DIREITO TRIBUTÁRIO;5956;Taxas;5957;Federais;5960;Taxa de Despacho Aduaneiro;;;;; direito tributário taxas federais taxa de despacho aduaneiro   
10540;14;DIREITO TRIBUTÁRIO;5913;Limitações ao Poder de Tributar;10540;Competência Tributária;;;;;;; direito tributário limitações ao poder de tributar competência tributária    
5915;14;DIREITO TRIBUTÁRIO;5913;Limitações ao Poder de Tributar;5915;Isenção;;;;;;; direito tributário limitações ao poder de tributar isenção    
10529;14;DIREITO TRIBUTÁRIO;5913;Limitações ao Poder de Tributar;5914;Imunidade;10529;Partidos Políticos;;;;; direito tributário limitações ao poder de tributar imunidade partidos políticos   
10530;14;DIREITO TRIBUTÁRIO;5913;Limitações ao Poder de Tributar;5914;Imunidade;10530;Imunidade Recíproca;;;;; direito tributário limitações ao poder de tributar imunidade imunidade recíproca   
10527;14;DIREITO TRIBUTÁRIO;5913;Limitações ao Poder de Tributar;5914;Imunidade;10527;Livros / Jornais / Periódicos;;;;; direito tributário limitações ao poder de tributar imunidade livros / jornais / periódicos   
10528;14;DIREITO TRIBUTÁRIO;5913;Limitações ao Poder de Tributar;5914;Imunidade;10528;Entidades Sem Fins Lucrativos;;;;; direito tributário limitações ao poder de tributar imunidade entidades sem fins lucrativos   
6093;14;DIREITO TRIBUTÁRIO;6089;Regimes Especiais de Tributação;6093;Super SIMPLES;;;;;;; direito tributário regimes especiais de tributação super simples    
6092;14;DIREITO TRIBUTÁRIO;6089;Regimes Especiais de Tributação;6092;SIMPLES;;;;;;; direito tributário regimes especiais de tributação simples    
6091;14;DIREITO TRIBUTÁRIO;6089;Regimes Especiais de Tributação;6091;PAES/Parcelamento Especial;;;;;;; direito tributário regimes especiais de tributação paes/parcelamento especial    
6090;14;DIREITO TRIBUTÁRIO;6089;Regimes Especiais de Tributação;6090;REFIS/Programa de Recuperação Fiscal;;;;;;; direito tributário regimes especiais de tributação refis/programa de recuperação fiscal    
5952;14;DIREITO TRIBUTÁRIO;5916;Impostos;5952;IPTU/ Imposto Predial e Territorial Urbano;;;;;;; direito tributário impostos iptu/ imposto predial e territorial urbano    
5947;14;DIREITO TRIBUTÁRIO;5916;Impostos;5946;ICMS/ Imposto sobre Circulação de Mercadorias;5947;ICMS/Importação;;;;; direito tributário impostos icms/ imposto sobre circulação de mercadorias icms/importação   
10872;14;DIREITO TRIBUTÁRIO;5916;Impostos;5946;ICMS/ Imposto sobre Circulação de Mercadorias;10872;Nao Cumulatividade;;;;; direito tributário impostos icms/ imposto sobre circulação de mercadorias nao cumulatividade   
10531;14;DIREITO TRIBUTÁRIO;5916;Impostos;5946;ICMS/ Imposto sobre Circulação de Mercadorias;10531;ICMS / Incidência Sobre o Ativo Fixo;;;;; direito tributário impostos icms/ imposto sobre circulação de mercadorias icms / incidência sobre o ativo fixo   
5955;14;DIREITO TRIBUTÁRIO;5916;Impostos;5955;ITCD - Imposto de Transmissão Causa Mortis;;;;;;; direito tributário impostos itcd - imposto de transmissão causa mortis    
5943;14;DIREITO TRIBUTÁRIO;5916;Impostos;5941;II/ Imposto sobre Importação;5943;Drawback;;;;; direito tributário impostos ii/ imposto sobre importação drawback   
5942;14;DIREITO TRIBUTÁRIO;5916;Impostos;5941;II/ Imposto sobre Importação;5942;Importação de bens usados;;;;; direito tributário impostos ii/ imposto sobre importação importação de bens usados   
10947;14;DIREITO TRIBUTÁRIO;5916;Impostos;5945;IPI/ Imposto sobre Produtos Industrializados;10947;Princípio da Seletividade;;;;; direito tributário impostos ipi/ imposto sobre produtos industrializados princípio da seletividade   
10871;14;DIREITO TRIBUTÁRIO;5916;Impostos;5945;IPI/ Imposto sobre Produtos Industrializados;10871;Não Cumulatividade;;;;; direito tributário impostos ipi/ imposto sobre produtos industrializados não cumulatividade   
10903;14;DIREITO TRIBUTÁRIO;5916;Impostos;5945;IPI/ Imposto sobre Produtos Industrializados;10903;Incidência sobre desconto incondicional;;;;; direito tributário impostos ipi/ imposto sobre produtos industrializados incidência sobre desconto incondicional   
5949;14;DIREITO TRIBUTÁRIO;5916;Impostos;5948;IOC/IOF Imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários;5949;Incidência sobre Ações de Companhias Abertas;;;;; direito tributário impostos ioc/iof imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários incidência sobre ações de companhias abertas   
5950;14;DIREITO TRIBUTÁRIO;5916;Impostos;5950;ITR/ Imposto Territorial Rural;;;;;;; direito tributário impostos itr/ imposto territorial rural    
5951;14;DIREITO TRIBUTÁRIO;5916;Impostos;5951;ISS/ Imposto sobre Serviços;;;;;;; direito tributário impostos iss/ imposto sobre serviços    
5953;14;DIREITO TRIBUTÁRIO;5916;Impostos;5953;IPVA - Imposto Sobre Propriedade de Veículos Automotores;;;;;;; direito tributário impostos ipva - imposto sobre propriedade de veículos automotores    
5944;14;DIREITO TRIBUTÁRIO;5916;Impostos;5944;IE/ Imposto sobre Exportação;;;;;;; direito tributário impostos ie/ imposto sobre exportação    
10690;14;DIREITO TRIBUTÁRIO;5916;Impostos;10690;IPMF - Imposto Provisório sobre Movimentação Financeira;;;;;;; direito tributário impostos ipmf - imposto provisório sobre movimentação financeira    
5936;14;DIREITO TRIBUTÁRIO;5916;Impostos;5933;IRPJ/Imposto de Renda de Pessoa Jurídica;5936;Incidência sobre Aplicações Financeiras;;;;; direito tributário impostos irpj/imposto de renda de pessoa jurídica incidência sobre aplicações financeiras   
5935;14;DIREITO TRIBUTÁRIO;5916;Impostos;5933;IRPJ/Imposto de Renda de Pessoa Jurídica;5935;Demonstrações Financeiras (DCTF);;;;; direito tributário impostos irpj/imposto de renda de pessoa jurídica demonstrações financeiras (dctf)   
5937;14;DIREITO TRIBUTÁRIO;5916;Impostos;5933;IRPJ/Imposto de Renda de Pessoa Jurídica;5937;Retido na fonte;;;;; direito tributário impostos irpj/imposto de renda de pessoa jurídica retido na fonte   
