COD_ASSUNTO;JUST_ES_1GRAU;JUST_ES_2GRAU;JUST_ES_JUIZADO_ES;JUST_ES_TURMAS;JUST_ES_1GRAU_MIL;JUST_ES_2GRAU_MIL;JUST_ES_JUIZADO_ES_FP;JUST_TU_ES_UN;JUST_FED_1GRAU;JUST_FED_2GRAU;JUST_FED_JUIZADO_ES;JUST_FED_TURMAS;JUST_FED_NACIONAL;JUST_FED_REGIONAL;JUST_TRAB_1GRAU;JUST_TRAB_2GRAU;JUST_TRAB_TST;JUST_TRAB_CSJT;STF;STJ;CJF;CNJ;JUST_MIL_UNIAO_1GRAU;JUST_MIL_UNIAO_STM;JUST_MIL_EST_1GRAU;JUST_MIL_EST_TJM;JUST_ELEI_1GRAU;JUST_ELEI_2GRAU;JUST_ELEI_TSE
10422;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10423;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10424;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10425;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10426;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10427;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10428;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10429;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10430;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10431;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10432;S;S;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10433;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10434;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10435;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10436;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10437;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10438;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10439;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10440;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10441;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10442;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10443;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10444;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10445;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10446;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10447;S;S;S;S;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
